"Sorting.code","Mesh.size","Leaf.condition","Genus","latitude","longitude","mean_kd","mean_mean_daily_temp","Citation"
2100,"coarse","senesced","Alnus",43.2444,2.1401,0.0449,7,"Lecerf and Chauvet 2008 FWB"
2101,"coarse","senesced","Alnus",43.2448,2.1523,0.0476,8.1,"Lecerf and Chauvet 2008 FWB"
2102,"fine","senesced","Alnus",43.5441,1.4545,0.0105,7.5,"Lecerf and Chauvet 2008 FWB"
2103,"fine","senesced","Alnus",44.0307,1.2643,0.00545,8.2,"Lecerf and Chauvet 2008 FWB"
2104,"fine","senesced","Alnus",43.2002,2.1354,0.0069,8.3,"Lecerf and Chauvet 2008 FWB"
2105,"fine","senesced","Alnus",43.2444,2.2236,0.004,11.8,"Lecerf and Chauvet 2008 FWB"
2106,"fine","senesced","Alnus",43.2444,2.1401,0.0061,7,"Lecerf and Chauvet 2008 FWB"
2107,"fine","senesced","Alnus",43.2448,2.1523,0.0055,8.1,"Lecerf and Chauvet 2008 FWB"
2108,"coarse","senesced","Alnus",43.25,2.11,0.03445,11.1,"Lagrue et al. 2011 FWB"
2110,"coarse","senesced","Alnus",43.23,2.12,0.02095,11.3,"Lagrue et al. 2011 FWB"
2112,"coarse","senesced","Fagus",43.25,2.11,0.01045,11.1,"Lagrue et al. 2011 FWB"
2114,"coarse","senesced","Fagus",43.23,2.12,0.0126,11.3,"Lagrue et al. 2011 FWB"
2116,"coarse","senesced","Alnus",43.2937,2.1605,0.0521,11.9,"Lecerf et al. unpublished"
2117,"coarse","senesced","Alnus",43.2956,2.1558,0.0959,12.4,"Lecerf et al. unpublished"
2118,"coarse","senesced","Alnus",43.2821,2.1328,0.0335,11.4,"Lecerf et al. unpublished"
2119,"coarse","senesced","Alnus",43.2907,2.1243,0.0373,12.1,"Lecerf et al. unpublished"
2120,"coarse","senesced","Alnus",43.2833,2.1408,0.0276,10.9,"Lecerf et al. unpublished"
2121,"coarse","senesced","Alnus",43.2842,2.1435,0.0625,10.8,"Lecerf et al. unpublished"
2122,"coarse","senesced","Fagus",43.2937,2.1605,0.0281,11.9,"Lecerf et al. unpublished"
2123,"coarse","senesced","Fagus",43.2956,2.1558,0.0484,12.4,"Lecerf et al. unpublished"
2124,"coarse","senesced","Fagus",43.2821,2.1328,0.0136,11.4,"Lecerf et al. unpublished"
2125,"coarse","senesced","Fagus",43.2907,2.1243,0.0124,12.1,"Lecerf et al. unpublished"
2126,"coarse","senesced","Fagus",43.2833,2.1408,0.0169,10.9,"Lecerf et al. unpublished"
2127,"coarse","senesced","Fagus",43.2842,2.1435,0.0194,10.8,"Lecerf et al. unpublished"
2128,"coarse","senesced","Alnus",59.81,15.36,0.00485,NA,"Bergfur et al. 2007 FAL, FWB"
2129,"coarse","senesced","Alnus",59.72,14.78,0.0125,1.7,"Bergfur et al. 2007 FAL, FWB"
2130,"coarse","senesced","Alnus",59.63,15.43,0.0058,1.1,"Bergfur et al. 2007 FAL, FWB"
2131,"coarse","senesced","Alnus",60.62,17.3,0.0122,1.4,"Bergfur et al. 2007 FAL, FWB"
2132,"coarse","senesced","Alnus",60.35,17.7,0.0130666666666667,1.2,"Bergfur et al. 2007 FAL, FWB"
2133,"coarse","senesced","Alnus",59.68,18.68,0.0143666666666667,1.5,"Bergfur et al. 2007 FAL, FWB"
2134,"coarse","senesced","Alnus",59.8,17.61,0.0125,1.1,"Bergfur et al. 2007 FAL, FWB"
2135,"coarse","senesced","Alnus",59.63,16.87,0.0182,NA,"Bergfur et al. 2007 FAL, FWB"
2136,"coarse","senesced","Alnus",59.74,18.49,0.0447666666666667,1.3,"Bergfur et al. 2007 FAL, FWB"
2137,"fine","senesced","Alnus",59.81,15.36,0.003,NA,"Bergfur et al. 2007 FAL, FWB"
2138,"fine","senesced","Alnus",59.72,14.78,0.0065,1.7,"Bergfur et al. 2007 FAL, FWB"
2139,"fine","senesced","Alnus",59.63,15.43,0.003,1.1,"Bergfur et al. 2007 FAL, FWB"
2140,"fine","senesced","Alnus",60.62,17.3,0.0055,1.4,"Bergfur et al. 2007 FAL, FWB"
2141,"fine","senesced","Alnus",60.35,17.7,0.00756666666666667,1.2,"Bergfur et al. 2007 FAL, FWB"
2142,"fine","senesced","Alnus",59.68,18.68,0.00546666666666667,1.5,"Bergfur et al. 2007 FAL, FWB"
